gene_symbol,wilcoxon_score,log2fc,pval,pval_adj
EGR1,17.46734,0.77600765,2.5406137735956762e-68,1.4639548319829504e-66
JMJD1C,17.465355,0.74929756,2.630591429944019e-68,1.512869922369933e-66
PNN,17.463634,0.7599759,2.7110884831252533e-68,1.5561543217907947e-66
DERA,17.453373,0.9549919,3.2449757461997333e-68,1.8590147179529225e-66
FKBP10,17.451227,1.1349491,3.3691413603620336e-68,1.9264361551470067e-66
DDR2,17.4338,3.6668808,4.570544770729011e-68,2.6083686692530844e-66
KRT16,17.426805,2.2689714,5.1651322486142745e-68,2.9420474549434526e-66
VIM-AS1,17.415169,4.1796007,6.330253278670313e-68,3.5919355102042825e-66
CD59,17.408875,0.547668,7.06587009922797e-68,4.001705060197052e-66
PLTP,17.386946,2.725463,1.0360977832720023e-67,5.856710150195141e-66
GNG11,17.360844,3.0435905,1.633078541936026e-67,9.213723773697127e-66
UBE2S,17.338243,0.95718277,2.4201694929472437e-67,1.3628579457159166e-65
PELI1,17.335398,1.3057754,2.543058986314031e-67,1.4266560913221712e-65
PSME4,17.305851,1.0091106,4.249584066424357e-67,2.3795269877023614e-65
FAT1,17.295444,1.6024832,5.090869667710275e-67,2.8399029611637825e-65
GYPC,17.295,3.291219,5.130312293417144e-67,2.856546356182995e-65
FBLIM1,17.289515,1.1759489,5.642556548350785e-67,3.13589035237596e-65
ATF4,17.271372,0.6415677,7.72842746733083e-67,4.287114438174395e-65
LAMC1,17.254385,2.013952,1.037189992936927e-66,5.7427877206692095e-65
CTHRC1,17.252216,2.8309903,1.0768954080659394e-66,5.951548544242487e-65
USP36,17.209728,1.0484825,2.2448500295793788e-66,1.2314783381823555e-64
DST,17.179903,1.1873388,3.75539730906036e-66,2.052559341733303e-64
ATP5C1,17.146845,0.5856054,6.635935371842468e-66,3.620298466256736e-64
ICAM1,17.13125,1.4143567,8.67708058089108e-66,4.7251948152314004e-64
BCL11A,17.098225,3.0837286,1.5299460333485698e-65,8.301073979845443e-64
CALB2,17.067352,4.7510467,2.5971680960877417e-65,1.4065865027500332e-63
MET,17.039934,3.071919,4.151947634103104e-65,2.2364104892171663e-63
EFEMP1,17.033998,2.0648506,4.595342574993253e-65,2.4707652944353414e-63
MYO1E,17.031857,1.2637682,4.766695294878691e-65,2.558269877303757e-63
C2orf40,16.999172,5.829856,8.328766533774595e-65,4.4484671647889246e-63
TLN1,16.99914,1.0510441,8.333488752522218e-65,4.4484671647889246e-63
SPARC,16.985565,3.384236,1.0503544958067243e-64,5.596808283838949e-63
TMEM126A,16.9697,0.84609467,1.3763297940656354e-64,7.320646469938021e-63
FAM136A,16.952503,0.7809735,1.8443324581013897e-64,9.792417317272968e-63
C11orf73,16.9505,0.8421251,1.9082033213446634e-64,1.0113477603126717e-62
USB1,16.94459,0.94095284,2.110041737516798e-64,1.116332223871654e-62
PRKAR1B,16.922462,1.5255649,3.073057546149372e-64,1.6229346362284063e-62
FAM60A,16.91469,1.0240265,3.5065764764994015e-64,1.84859997120136e-62
ITGA2,16.88439,1.8920537,5.861944414859984e-64,3.084835279416494e-62
FADS3,16.875187,1.520335,6.850702498965888e-64,3.5987974805963383e-62
GARS,16.869616,0.8252336,7.52851663027563e-64,3.947890387442422e-62
AQP5,16.8673,2.536828,7.829503671924274e-64,4.098497054178247e-62
LCN2,16.852829,2.7320588,1.000134929627161e-63,5.217019625018312e-62
CEP170,16.766424,1.318387,4.2959300788765303e-63,2.225276812460555e-61
SMCHD1,16.7622,0.8315763,4.6124173279461236e-63,2.3850609462925583e-61
MRPL15,16.760838,0.7910521,4.719339749831734e-63,2.436113346905329e-61
NFAT5,16.760168,1.0419841,4.7728001056073e-63,2.4594396107456128e-61
SMAGP,16.754541,1.2864335,5.24640884186089e-63,2.6941532658903255e-61
MPP6,16.734373,3.4295073,7.3627880458846e-63,3.767947968473095e-61
RRAS2,16.732605,1.6276145,7.584771113478332e-63,3.874879716787822e-61
CTD-3252C9.4,16.7325,0.7568747,7.598130600581256e-63,3.8750466062964405e-61
